"","EH0","EH0_40","EH40","EH20_60","EH0_80","EH40_80","EH80"
"0000",0.062,0.438,0.312,0.125,0.033,0,0.031
"1000",0.312,0.219,0.094,0,0,0,0
"0100",0,0,0.031,0.031,0,0,0
"0010",0,0.031,0.125,0.125,0.1,0,0.031
"0001",0,0,0,0,0,0.031,0
"1100",0.156,0.062,0.094,0,0,0,0
"1010",0,0,0,0.031,0,0,0
"1001",0,0,0.031,0,0,0,0
"0101",0,0,0,0,0,0,0
"0110",0,0,0.031,0.094,0.333,0,0
"0011",0,0.031,0.062,0,0.033,0.062,0.156
"1110",0.031,0.031,0.031,0.031,0.033,0,0
"1101",0.031,0.031,0.031,0,0,0,0
"1011",0,0,0.031,0.031,0,0,0
"0111",0,0,0.094,0.219,0.2,0.562,0.375
"1111",0.031,0,0.031,0.094,0.067,0.125,0.062
"n_extinct",0.375,0.156,0,0.219,0.2,0.219,0.344
"n_tot",32,32,32,32,30,32,32
