"","ec_mean","ec_se","uct_mean","uct_se","ucm_mean","ucm_se","ccpt_mean","ccpt_se","ccpm_mean","ccpm_se","n_reps","day","plateloc","group"
"1",1328786.4,70753,802.6,184.48,7.17,1.65,0.00059628,0.00012081,0.00000532,0.00000108,5,NA,NA,"ref"
"2",450194,NA,893,NA,8.12,NA,0.00197966,NA,0.000018,NA,1,50,"A1","COPR"
"3",377924,NA,714,NA,6.49,NA,0.00188571,NA,0.00001714,NA,1,50,"E6","COPR"
"4",188543,NA,3668,NA,33.35,NA,0.0190832,NA,0.00017348,NA,1,50,"F8","COPR"
"5",278893,35803.51,53.33,7.45,0.48,0.07,0.00019228,0.00002106,0.00000175,0.00000019,3,0,"A1","ancestral"
"6",315070.33,18349.72,16,1.15,0.15,0.01,0.00005134,0.00000597,0.00000047,0.00000005,3,0,"E6","ancestral"
"7",254789.67,18092.34,23.33,8.35,0.21,0.08,0.00009117,0.0000313,0.00000083,0.00000028,3,0,"F8","ancestral"
"8",172915.33,18262.77,30.33,8.65,0.28,0.08,0.0001691,0.00003031,0.00000154,0.00000028,3,50,"A1","SALT"
"9",296522,24235.29,121.67,51.72,1.11,0.47,0.00040695,0.00016478,0.0000037,0.0000015,3,50,"E6","SALT"
"10",193294,11227.47,63,15.5,0.57,0.14,0.00033251,0.00008666,0.00000302,0.00000079,3,50,"F8","SALT"
